"","group","Year","CO2","time"
"1","BRIC",1900,24093,0
"2","BRIC",1901,25581,1
"3","BRIC",1902,25401,2
"4","BRIC",1903,25528,3
"5","BRIC",1904,28372,4
"6","BRIC",1905,26210,5
"7","BRIC",1906,33928,6
"8","BRIC",1907,37305,7
"9","BRIC",1908,40044,8
"10","BRIC",1909,40691,9
"11","BRIC",1910,39594,10
"12","BRIC",1911,43543,11
"13","BRIC",1912,43626,12
"14","BRIC",1913,47559,13
"15","BRIC",1914,45023,14
"16","BRIC",1915,42965,15
"17","BRIC",1916,45346,16
"18","BRIC",1917,43853,17
"19","BRIC",1918,29037,18
"20","BRIC",1919,29613,19
"21","BRIC",1920,27191,20
"22","BRIC",1921,28084,21
"23","BRIC",1922,30533,22
"24","BRIC",1923,33764,23
"25","BRIC",1924,37871,24
"26","BRIC",1925,37080,25
"27","BRIC",1926,42619,26
"28","BRIC",1927,49572,27
"29","BRIC",1928,52142,28
"30","BRIC",1929,55454,29
"31","BRIC",1930,67293,30
"32","BRIC",1931,75081,31
"33","BRIC",1932,80294,32
"34","BRIC",1933,88022,33
"35","BRIC",1934,104695,34
"36","BRIC",1935,118051,35
"37","BRIC",1936,132728,36
"38","BRIC",1937,135372,37
"39","BRIC",1938,141306,38
"40","BRIC",1939,145522,39
"41","BRIC",1940,173719,40
"42","BRIC",1941,163761,41
"43","BRIC",1942,128989,42
"44","BRIC",1943,144748,43
"45","BRIC",1944,138562,44
"46","BRIC",1945,133045,45
"47","BRIC",1946,140400,46
"48","BRIC",1947,165041,47
"49","BRIC",1948,170901,48
"50","BRIC",1949,201338,49
"51","BRIC",1950,230326,50
"52","BRIC",1951,253549,51
"53","BRIC",1952,276936,52
"54","BRIC",1953,291463,53
"55","BRIC",1954,322119,54
"56","BRIC",1955,366504,55
"57","BRIC",1956,402148,56
"58","BRIC",1957,444975,57
"59","BRIC",1958,543251,58
"60","BRIC",1959,616857,59
"61","BRIC",1960,653628,60
"62","BRIC",1961,606928,61
"63","BRIC",1962,601438,62
"64","BRIC",1963,634830,63
"65","BRIC",1964,663379,64
"66","BRIC",1965,707771,65
"67","BRIC",1966,753273,66
"68","BRIC",1967,754434,67
"69","BRIC",1968,787397,68
"70","BRIC",1969,844073,69
"71","BRIC",1970,932551,70
"72","BRIC",1971,1006022,71
"73","BRIC",1972,1063197,72
"74","BRIC",1973,1110472,73
"75","BRIC",1974,1149538,74
"76","BRIC",1975,1240056,75
"77","BRIC",1976,1289641,76
"78","BRIC",1977,1356005,77
"79","BRIC",1978,1432532,78
"80","BRIC",1979,1455876,79
"81","BRIC",1980,1488769,80
"82","BRIC",1981,1469105,81
"83","BRIC",1982,1524924,82
"84","BRIC",1983,1568634,83
"85","BRIC",1984,1620819,84
"86","BRIC",1985,1752513,85
"87","BRIC",1986,1796546,86
"88","BRIC",1987,1890088,87
"89","BRIC",1988,1974988,88
"90","BRIC",1989,1977310,89
"91","BRIC",1990,1927188,90
"92","BRIC",1991,1936851,91
"93","BRIC",1992,1906524,92
"94","BRIC",1993,1878718,93
"95","BRIC",1994,1835633,94
"96","BRIC",1995,1891293,95
"97","BRIC",1996,1934879,96
"98","BRIC",1997,1902391,97
"99","BRIC",1998,1862272,98
"100","BRIC",1999,1885535,99
"101","BRIC",2000,1924282,100
"102","BRIC",2001,1956095,101
"103","BRIC",2002,2058587,102
"104","BRIC",2003,2283266,103
"105","BRIC",2004,2499631,104
"106","EU",1900,308295,0
"107","EU",1901,305139,1
"108","EU",1902,305893,2
"109","EU",1903,319508,3
"110","EU",1904,323797,4
"111","EU",1905,335882,5
"112","EU",1906,344558,6
"113","EU",1907,381444,7
"114","EU",1908,387520,8
"115","EU",1909,386584,9
"116","EU",1910,392516,10
"117","EU",1911,401110,11
"118","EU",1912,413439,12
"119","EU",1913,447159,13
"120","EU",1914,398521,14
"121","EU",1915,378315,15
"122","EU",1916,395466,16
"123","EU",1917,392092,17
"124","EU",1918,368201,18
"125","EU",1919,311452,19
"126","EU",1920,362801,20
"127","EU",1921,330693,21
"128","EU",1922,366598,22
"129","EU",1923,347951,23
"130","EU",1924,401879,24
"131","EU",1925,397791,25
"132","EU",1926,332918,26
"133","EU",1927,425946,27
"134","EU",1928,424985,28
"135","EU",1929,461271,29
"136","EU",1930,424976,30
"137","EU",1931,386459,31
"138","EU",1932,349861,32
"139","EU",1933,356266,33
"140","EU",1934,383957,34
"141","EU",1935,397957,35
"142","EU",1936,416331,36
"143","EU",1937,457235,37
"144","EU",1938,455276,38
"145","EU",1939,466174,39
"146","EU",1940,485659,40
"147","EU",1941,480235,41
