"","group","Year","CO2","time"
"1","BRIC",1830,0.0183222314737719,-70
"2","BRIC",1831,0.0219866777685262,-69
"3","BRIC",1832,0.0146577851790175,-68
"4","BRIC",1833,0.0183222314737719,-67
"5","BRIC",1850,0.113597835137386,-50
"6","BRIC",1855,0.344457951706911,-45
"7","BRIC",1858,0.919776019983347,-42
"8","BRIC",1859,1.21659616985845,-41
"9","BRIC",1860,1.38882514571191,-40
"10","BRIC",1861,1.41081182348043,-39
"11","BRIC",1862,1.38516069941715,-38
"12","BRIC",1863,1.48776519567027,-37
"13","BRIC",1864,1.5500607826811,-36
"14","BRIC",1865,1.49875853455454,-35
"15","BRIC",1866,3.46290174854288,-34
"16","BRIC",1867,3.16241715237302,-33
"17","BRIC",1868,2.63107243963364,-32
"18","BRIC",1869,3.56917069109076,-31
"19","BRIC",1870,3.87331973355537,-30
"20","BRIC",1871,5.22916486261449,-29
"21","BRIC",1872,5.36841382181515,-28
"22","BRIC",1873,5.03861365528726,-27
"23","BRIC",1874,6.11596086594505,-26
"24","BRIC",1875,7.03940133222315,-25
"25","BRIC",1876,8.73970441298917,-24
"26","BRIC",1877,8.91926228143214,-23
"27","BRIC",1878,13.6097535387177,-22
"28","BRIC",1879,13.814962531224,-21
"29","BRIC",1880,16.1052414654455,-20
"30","BRIC",1881,16.8014862614488,-19
"31","BRIC",1882,17.9704446294754,-18
"32","BRIC",1883,20.3999725228976,-17
"33","BRIC",1884,20.975290591174,-16
"34","BRIC",1885,22.2908268109908,-15
"35","BRIC",1886,23.1226561199001,-14
"36","BRIC",1887,24.6177502081599,-13
"37","BRIC",1888,25.9039708576186,-12
"38","BRIC",1889,28.3334987510408,-11
"39","BRIC",1890,31.9576361365529,-10
"40","BRIC",1891,35.0687510407993,-9
"41","BRIC",1892,37.3297144046628,-8
"42","BRIC",1893,43.0719017485429,-7
"43","BRIC",1894,43.8780799333888,-6
"44","BRIC",1895,51.0530657785179,-5
"45","BRIC",1896,52.4638776019983,-4
"46","BRIC",1897,60.0456169858451,-3
"47","BRIC",1898,67.2206028309742,-2
"48","BRIC",1899,77.4993746877602,-1
"49","BRIC",1900,88.2875045795171,0
"50","BRIC",1901,93.7402006661116,1
"51","BRIC",1902,93.0806003330558,2
"52","BRIC",1903,93.5459850124896,3
"53","BRIC",1904,103.967670274771,4
"54","BRIC",1905,96.0451373855121,5
"55","BRIC",1906,124.327333888426,6
"56","BRIC",1907,136.702169025812,7
"57","BRIC",1908,146.739087427144,8
"58","BRIC",1909,149.10998417985,9
"59","BRIC",1910,145.090086594505,10
"60","BRIC",1911,159.56098501249,11
"61","BRIC",1912,159.865134054954,12
"62","BRIC",1913,174.277401332223,13
"63","BRIC",1914,164.984365528726,14
"64","BRIC",1915,157.442935054122,15
"65","BRIC",1916,166.167981681932,16
"66","BRIC",1917,160.696963363863,17
"67","BRIC",1918,106.404527060783,18
"68","BRIC",1919,108.515248126561,19
"69","BRIC",1920,99.6399592006661,20
"70","BRIC",1921,102.912309741882,21
"71","BRIC",1922,111.886538717735,22
"72","BRIC",1923,123.726364696087,23
"73","BRIC",1924,138.776245628643,24
"74","BRIC",1925,135.877668609492,25
"75","BRIC",1926,156.175036636137,26
"76","BRIC",1927,181.653931723564,27
"77","BRIC",1928,191.071558701082,28
"78","BRIC",1929,203.208204829309,29
"79","BRIC",1930,246.591584512906,30
"80","BRIC",1931,275.130292256453,31
"81","BRIC",1932,294.233050791007,32
"82","BRIC",1933,322.551891756869,33
"83","BRIC",1934,383.649204829309,34
"84","BRIC",1935,432.591549542048,35
"85","BRIC",1936,486.374627810158,36
"86","BRIC",1937,496.063423813489,37
"87","BRIC",1938,517.808248126561,38
"88","BRIC",1939,533.257553705246,39
"89","BRIC",1940,636.583945878435,40
"90","BRIC",1941,600.093389675271,41
"91","BRIC",1942,472.673263114072,42
"92","BRIC",1943,530.421272273106,43
"93","BRIC",1944,507.753007493755,44
"94","BRIC",1945,487.536257285595,45
"95","BRIC",1946,514.488259783514,46
"96","BRIC",1947,604.783880932556,47
"97","BRIC",1948,626.257536219817,48
"98","BRIC",1949,737.792288093256,49
"99","BRIC",1950,844.017257285595,50
