"","Year","ebar","time","ebar_lag","time_lag"
"1",1900,133277,0,NA,NA
"2",1901,137689,1,133277,0
"3",1902,141177.5,2,137689,1
"4",1903,154016.75,3,141177.5,2
"5",1904,155651.25,4,154016.75,3
"6",1905,165711.5,5,155651.25,4
"7",1906,174049.25,6,165711.5,5
"8",1907,196824.5,7,174049.25,6
"9",1908,189390.25,8,196824.5,7
"10",1909,196867.75,9,189390.25,8
"11",1910,206469.5,10,196867.75,9
"12",1911,210237.25,11,206469.5,10
"13",1912,220163.75,12,210237.25,11
"14",1913,238220.75,13,220163.75,12
"15",1914,216162.5,14,238220.75,13
"16",1915,213234,15,216162.5,14
"17",1916,230098.5,16,213234,15
"18",1917,240746.25,17,230098.5,16
"19",1918,237492.25,18,240746.25,17
"20",1919,205829.75,19,237492.25,18
"21",1920,239329.5,20,205829.75,19
"22",1921,209996.75,21,239329.5,20
"23",1922,220201.25,22,209996.75,21
"24",1923,249844,23,220201.25,22
"25",1924,250634.5,24,249844,23
"26",1925,252403.5,25,250634.5,24
"27",1926,248493.75,26,252403.5,25
"28",1927,271382.25,27,248493.75,26
"29",1928,272320,28,271382.25,27
"30",1929,292764,29,272320,28
"31",1930,270568.5,30,292764,29
"32",1931,241735,31,270568.5,30
"33",1932,218087.25,32,241735,31
"34",1933,229639.5,33,218087.25,32
"35",1934,249832.75,34,229639.5,33
"36",1935,262453,35,249832.75,34
"37",1936,288187.5,36,262453,35
"38",1937,308602,37,288187.5,36
"39",1938,290999.5,38,308602,37
"40",1939,307255,39,290999.5,38
"41",1940,334607.5,40,307255,39
"42",1941,342839.5,41,334607.5,40
"43",1942,343884.75,42,342839.5,41
"44",1943,355914.5,43,343884.75,42
"45",1944,353515.5,44,355914.5,43
"46",1945,295673.75,45,353515.5,44
"47",1946,322779.75,46,295673.75,45
"48",1947,357298.25,47,322779.75,46
"49",1948,375643.25,48,357298.25,47
"50",1949,357864,49,375643.25,48
"51",1950,394796.75,50,357864,49
"52",1951,424836,51,394796.75,50
"53",1952,430566,52,424836,51
"54",1953,442568.25,53,430566,52
"55",1954,452318.75,54,442568.25,53
"56",1955,495237.75,55,452318.75,54
"57",1956,527096,56,495237.75,55
"58",1957,543446.75,57,527096,56
"59",1958,560554.25,58,543446.75,57
"60",1959,589917.5,59,560554.25,58
"61",1960,621471.25,60,589917.5,59
"62",1961,621248.5,61,621471.25,60
"63",1962,643292,62,621248.5,61
"64",1963,679921.75,63,643292,62
"65",1964,714463.25,64,679921.75,63
"66",1965,747877.75,65,714463.25,64
"67",1966,781873.75,66,747877.75,65
"68",1967,805957.5,67,781873.75,66
"69",1968,849938,68,805957.5,67
"70",1969,907086.5,69,849938,68
"71",1970,982917.5,70,907086.5,69
"72",1971,1022517.75,71,982917.5,70
"73",1972,1069541.75,72,1022517.75,71
"74",1973,1125945.25,73,1069541.75,72
"75",1974,1123486,74,1125945.25,73
"76",1975,1124920.5,75,1123486,74
"77",1976,1186863.25,76,1124920.5,75
"78",1977,1219931.75,77,1186863.25,76
"79",1978,1265896.75,78,1219931.75,77
"80",1979,1300330.5,79,1265896.75,78
"81",1980,1295394.5,80,1300330.5,79
"82",1981,1262079.25,81,1295394.5,80
"83",1982,1255427.75,82,1262079.25,81
"84",1983,1268586.25,83,1255427.75,82
"85",1984,1306396.25,84,1268586.25,83
"86",1985,1353623.25,85,1306396.25,84
"87",1986,1372147.5,86,1353623.25,85
"88",1987,1420413.75,87,1372147.5,86
"89",1988,1475006,88,1420413.75,87
"90",1989,1497693,89,1475006,88
"91",1990,1458294.5,90,1497693,89
"92",1991,1496516.75,91,1458294.5,90
"93",1992,1467065.25,92,1496516.75,91
"94",1993,1481863,93,1467065.25,92
"95",1994,1486821.25,94,1481863,93
"96",1995,1516598.25,95,1486821.25,94
"97",1996,1558292,96,1516598.25,95
"98",1997,1563554.75,97,1558292,96
"99",1998,1555553.25,98,1563554.75,97
"100",1999,1580076.5,99,1555553.25,98
"101",2000,1627711.25,100,1580076.5,99
"102",2001,1641048,101,1627711.25,100
"103",2002,1677351.5,102,1641048,101
"104",2003,1763916.25,103,1677351.5,102
"105",2004,1847055.5,104,1763916.25,103
