seed,ρ,σₐ²,σᵤ²,σₐ²hat,σᵤ²hat,LL
1,0.8785,3.6288344,3.6288344,3.333216481227455,4.4090365628545785,-340.54395607623303
2,0.8785,3.6288344,3.6288344,3.854742671340751,4.169957154227845,-338.4992463850297
3,0.8785,3.6288344,3.6288344,2.86182605406809,3.73815042497662,-321.0218763134867
4,0.8785,3.6288344,3.6288344,3.321964808887534,3.010122101983099,-303.6489872362548
5,0.8785,3.6288344,3.6288344,3.886425084502952,3.4231615550926633,-319.77286608535286
6,0.8785,3.6288344,3.6288344,3.06017093148628,3.732139597810481,-322.3920666700146
7,0.8785,3.6288344,3.6288344,3.0824010567494793,4.093579908211824,-331.5485099877045
8,0.8785,3.6288344,3.6288344,4.567547291232705,3.4755017019763246,-325.23651908442235
9,0.8785,3.6288344,3.6288344,4.335906288890157,3.4,-319.9628382323631
10,0.8785,3.6288344,3.6288344,2.7730732103845956,3.9312503175328963,-325.2328120140869
11,0.8785,3.6288344,3.6288344,1.60580534810073,3.5078595742518925,-302.5619865669823
12,0.8785,3.6288344,3.6288344,3.016455824823452,3.779663217553783,-323.2911685972883
13,0.8785,3.6288344,3.6288344,3.7994778347925733,3.6753824036910965,-326.0203448957546
14,0.8785,3.6288344,3.6288344,2.8504750292130265,4.093132821893682,-329.79345143429725
15,0.8785,3.6288344,3.6288344,3.5958051787498517,4.461755491202222,-343.4256907596243
16,0.8785,3.6288344,3.6288344,4.703598141656364,3.5513387186912566,-328.02386287306746
17,0.8785,3.6288344,3.6288344,2.5862159675297915,3.4011922301817137,-309.5340058915799
18,0.8785,3.6288344,3.6288344,3.6462576278458005,3.5334055897079826,-321.2508067729208
19,0.8785,3.6288344,3.6288344,2.7464715744551134,3.9321444901691813,-325.0427758894835
20,0.8785,3.6288344,3.6288344,2.7711358363393113,4.340110755474267,-334.9293733420501
21,0.8785,3.6288344,3.6288344,4.392512997679893,3.422913173804806,-322.80977157167837
22,0.8785,3.6288344,3.6288344,3.3159726103179845,3.5000169350878085,-318.06547691375044
23,0.8785,3.6288344,3.6288344,3.9676288813074794,3.4,-317.89813021664094
24,0.8785,3.6288344,3.6288344,2.9854267924379188,3.308179647411472,-310.150170054615
25,0.8785,3.6288344,3.6288344,4.4228168946944875,3.6649234816282523,-329.4716283669106
26,0.8785,3.6288344,3.6288344,3.21645243780589,4.461656138687079,-340.90488055644244
27,0.8785,3.6288344,3.6288344,4.149492814798216,3.4,-317.86059334226087
28,0.8785,3.6288344,3.6288344,3.474626157936629,3.541585613454739,-320.3149892899381
29,0.8785,3.6288344,3.6288344,2.901480126674457,3.1128650217051375,-303.6100105780025
30,0.8785,3.6288344,3.6288344,3.6802216991161765,4.448044844112517,-343.6595550973182
31,0.8785,3.6288344,3.6288344,3.220294068391411,3.084711002726549,-305.2329488190749
32,0.8785,3.6288344,3.6288344,3.1460384125425023,3.4,-312.98843925323894
33,0.8785,3.6288344,3.6288344,2.4166709004386187,3.8230595682305277,-319.49098541726255
34,0.8785,3.6288344,3.6288344,3.957945096445325,2.918674321326356,-305.07631470631793
35,0.8785,3.6288344,3.6288344,2.698832043444145,3.8866907144913547,-323.51828436211827
36,0.8785,3.6288344,3.6288344,3.7707152816587355,3.778899445093623,-328.50093733369243
37,0.8785,3.6288344,3.6288344,2.9620603227827735,3.030390015072228,-301.5173643931476
38,0.8785,3.6288344,3.6288344,4.070172041675369,3.743306406543718,-329.444693329035
39,0.8785,3.6288344,3.6288344,4.200178947427842,2.9968254237064884,-309.08432701811444
40,0.8785,3.6288344,3.6288344,3.928615406037547,3.4977628749005065,-322.0966989109193
41,0.8785,3.6288344,3.6288344,5.137178727271701,3.6769513454927263,-333.54867008888067
42,0.8785,3.6288344,3.6288344,2.9261257599620656,3.788704296431777,-322.83520712142456
43,0.8785,3.6288344,3.6288344,3.2620179850632525,4.003976358617419,-330.68152124831704
44,0.8785,3.6288344,3.6288344,7.147123575335738,3.500771968206359,-337.56348538993944
45,0.8785,3.6288344,3.6288344,4.215192216382753,3.58849655935466,-326.27309017769704
46,0.8785,3.6288344,3.6288344,3.6348320886043792,2.9932818506663956,-305.3328801818493
47,0.8785,3.6288344,3.6288344,2.778172284016708,3.4,-310.816322202333
48,0.8785,3.6288344,3.6288344,5.449095948562493,3.443367372859828,-328.87271220112336
49,0.8785,3.6288344,3.6288344,3.982410653299237,3.8517793445870128,-331.6492208407665
50,0.8785,3.6288344,3.6288344,3.703426720934215,3.6495238417811198,-324.726123718199
51,0.8785,3.6288344,3.6288344,3.7580478359780294,3.885498484309641,-331.09312716700344
52,0.8785,3.6288344,3.6288344,5.131540472037347,3.1461481142779726,-318.8238016236859
53,0.8785,3.6288344,3.6288344,2.8624780549487148,3.427831123304374,-312.60838557545515
54,0.8785,3.6288344,3.6288344,4.020309498138081,3.2354660253913416,-315.2438931724254
55,0.8785,3.6288344,3.6288344,3.56406205016173,4.198111173206433,-337.31375712880987
56,0.8785,3.6288344,3.6288344,5.0230226873726345,3.8369337330014055,-337.0112493714505
57,0.8785,3.6288344,3.6288344,4.254951467732003,3.4,-316.9409731059715
58,0.8785,3.6288344,3.6288344,3.528800186662301,3.7237118827238898,-325.50500919996193
59,0.8785,3.6288344,3.6288344,3.5410681524383705,3.4,-316.6736117127869
60,0.8785,3.6288344,3.6288344,3.8385730495012615,3.915925192072121,-332.3493231902841
61,0.8785,3.6288344,3.6288344,3.4762675442805504,3.888305192862425,-329.32164997462263
62,0.8785,3.6288344,3.6288344,3.2423834442581585,2.9833217610233307,-302.2011228962201
63,0.8785,3.6288344,3.6288344,3.681279389433634,3.441504513200901,-318.9572664367938
64,0.8785,3.6288344,3.6288344,3.1568409287202153,2.8781633332768832,-298.1180284392904
65,0.8785,3.6288344,3.6288344,3.8160034698113243,3.8352509497761744,-330.2093378419724
66,0.8785,3.6288344,3.6288344,2.914079267501002,3.75299327677014,-321.81711403225034
67,0.8785,3.6288344,3.6288344,3.921950508146718,3.6056183094642678,-324.9558266862606
68,0.8785,3.6288344,3.6288344,4.481011250543334,3.4209137044375577,-323.25619347757873
69,0.8785,3.6288344,3.6288344,3.7345641177485582,3.4,-314.96348457205454
70,0.8785,3.6288344,3.6288344,5.123828233049388,2.865756687948427,-310.0256959770538
71,0.8785,3.6288344,3.6288344,3.548115971481312,4.276065640400345,-338.9955432902401
72,0.8785,3.6288344,3.6288344,2.502610826037133,3.1482593552247566,-301.2696403502387
73,0.8785,3.6288344,3.6288344,3.590433933399945,3.4304577554234617,-318.0439180899122
74,0.8785,3.6288344,3.6288344,3.0804450541076056,4.324090162407492,-336.8828218197866
75,0.8785,3.6288344,3.6288344,3.5708118116592433,3.44921675218886,-318.43474541525853
76,0.8785,3.6288344,3.6288344,3.5841064200917883,4.3512630752990455,-340.91484471887117
77,0.8785,3.6288344,3.6288344,3.4109991513639333,3.5770213438556677,-320.8291777850978
