seed,type,N,T,b₀ᵢ,β,ρ,σₐ²,σᵤ²,iterations,LL,V_norm_finalstep,V_norm_true,V,runtime,
real data,Estimated,2,3,"[254482.66666667067, 635529.3333333373]","[-32405.99999999498, 15904.00000000031]",0.0001,0.0001,115145955.130109,3,-64.0497379722169,0,,,2022-01-19 23:59:10,
,,,,,,,,,,,,,,,
TESTING PARAMETER BOUNDS,,,,,,,,,,,,,,,
real data,Estimated,2,60,"[209176.2072593917, 569211.5405927253]","[22035.243471656817, -105.70583012275544]",0.869338282874495,39.4286777565927,261.661744168108,3,-311276189.1063,0,,,2022-01-20 01:48:34,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 1.0, Inf, Inf :: starting params ρ, σᵤ², σₐ², β: 0.85, 10, 10, [1.0, 0.1]"
real data,Estimated,2,60,"[205769.7187532871, 565805.0520866204]","[22303.136037577166, -109.60522767208259]",0.841590223744203,40.3083101480685,266.113091719091,2,-309364258.94351,0,,,2022-01-20 01:48:41,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.85, Inf, Inf :: starting params ρ, σᵤ², σₐ², β: 0.85, 10, 10, [1.0, 0.1]"
real data,Estimated,2,60,"[209746.67330584957, 569782.0066391831]","[21990.127109356985, -105.05266967218911]",0.873602226198933,39.3440810564578,260.93529884607,2,-311659692.643697,0,,,2022-01-20 01:48:48,"lower param bounds 0.1, 1.0, 1.0 :: upper param bounds 1.0, Inf, Inf :: starting params ρ, σᵤ², σₐ², β: 0.85, 10, 10, [1.0, 0.1]"
real data,Estimated,2,60,"[205882.88406871323, 565918.2174020468]","[22294.277658935796, -109.47575672094978]",0.842582988786559,40.2482576710198,265.972921512565,3,-309410615.183421,0,,,2022-01-20 01:48:55,"lower param bounds 0.1, 1.0, 1.0 :: upper param bounds 0.85, Inf, Inf :: starting params ρ, σᵤ², σₐ², β: 0.85, 10, 10, [1.0, 0.1]"
,,,,,,,,,,,,,,,
TESTING PARAMETER STARTING VALUES,,,,,,,,,,,,,,,
real data,Estimated,2,60,"[227982.41168497995, 588017.7450183128]","[20515.997499055375, -85.04447102786263]",0.995728792736465,23.8749514823923,240.863357403712,4,-333147637.6901,0,,,2022-01-20 02:14:21,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.85, 1.0, 1.0"
real data,Estimated,2,60,"[199599.43410471934, 559634.7674380529]","[22782.00737558441, -116.6490440729071]",0.777377414452296,20.412155763358,289.684629290154,2,-303356766.211869,0,,,2022-01-20 02:14:32,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.1, 0.1, 0.1"
real data,Estimated,2,60,"[184868.36498648135, 544903.6983198143]","[23895.09397467082, -133.2668856512521]",0.423570883037459,129.49561090503,256.001493117798,2,-386840200.410425,0,,,2022-01-20 02:14:41,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.1, 10.0, 10.0"
real data,Estimated,2,60,"[180397.8806161828, 540433.2139495172]","[24225.245887582623, -138.24161454237196]",0.12027547950419,167.492404506951,238.945740098301,2,-515498766.277793,0,,,2022-01-20 02:14:51,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.1, 100.0, 100.0"
real data,Estimated,2,60,"[180193.37551984488, 540228.7088531777]","[24240.26944647046, -138.46837445733883]",No Convergence,No Convergence,No Convergence,2,-Inf,0,,,2022-01-20 02:14:51,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.1, 1000.0, 1000.0"
real data,Estimated,2,60,"[222752.5223214656, 582787.8556547989]","[20941.732395933534, -90.35098303514243]",0.954419665276947,25.6432065123584,252.211431903748,2,-319970336.624396,0,,,2022-01-20 02:14:58,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.99, 0.1, 0.1"
real data,Estimated,2,60,"[227638.2743146083, 587673.6076479417]","[20543.24696690854, -85.33964804948933]",0.98969500971045,33.2124057583856,239.287512037061,4,-332155979.059005,0,,,2022-01-20 02:15:10,"lower param bounds 0.0001, 0.0001, 0.0001 :: upper param bounds 0.9999, Inf, Inf :: starting params ρ, σᵤ², σₐ²: 0.99, 10.0, 10.0"
