seed,type,N,T,ρ_estimate,ρ_start,ρ_lower,ρ_upper,σₐ²_estimate,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_estimate,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,iterations,LL,V_norm_finalstep,V_norm_true,V,b₀₁,b₀₂,b₀₃,b₀₄,β₁,β₂,runtime,notes,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-08-01 12:02:28,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,10.007,10,0.0001,Inf,12.945,10,0.0001,Inf,2,-334167047951,0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-08-01 12:02:51,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-09-12 19:12:10,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,1.035,1,0.0001,Inf,16.224,1,0.0001,Inf,2,-268042170896,0,,,378017.714,-45391.353,347855.764,314643.98,26517.938,-6.618,2022-09-12 19:12:32,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,347892.794,-45348.302,314682.637,378055.958,26514.764,-6.554,2022-09-12 19:33:14,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
real data,Estimated,4,60,0.878,0.8785,0.878,0.879,10.236,10,0.0001,Inf,12.889,10,0.0001,Inf,2,-2214,0,,,347870.793,-45370.303,314660.636,378033.957,26516.354,-6.577,2022-09-12 19:33:33,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,347892.794,-45348.302,314682.637,378055.958,26514.764,-6.554,2022-09-12 19:38:33,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.878,0.8785,0.878,0.879,10.236,10,0.0001,Inf,12.889,10,0.0001,Inf,2,-2214,0,,,347870.793,-45370.303,314660.636,378033.957,26516.354,-6.577,2022-09-12 19:38:51,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,347892.794,-45348.302,314682.637,378055.958,26514.764,-6.554,2022-09-12 19:39:23,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.878,0.8785,0.878,0.879,10.236,10,0.0001,Inf,12.889,10,0.0001,Inf,2,-2214,0,,,347870.793,-45370.303,314660.636,378033.957,26516.354,-6.577,2022-09-12 19:39:41,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,347892.794,-45348.302,314682.637,378055.958,26514.764,-6.554,2022-09-12 19:40:46,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.878,0.8785,0.878,0.879,10.236,10,0.0001,Inf,12.889,10,0.0001,Inf,2,-2214,0,,,347870.793,-45370.303,314660.636,378033.957,26516.354,-6.577,2022-09-12 19:41:05,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 22:43:56,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 22:43:57,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 22:53:46,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 22:53:46,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 22:53:55,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 22:53:55,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 22:55:23,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 22:55:24,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 23:00:12,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 23:00:13,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 23:10:53,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 23:10:55,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 23:12:12,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 23:12:13,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-12 23:12:21,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2500000000,2500000000,0.0001,Inf,2500000000,2500000000,0.0001,Inf,2,-Inf,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-12 23:12:23,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
simulated data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,577413.928,168770.163,543521.656,515308.091,7706.787,306.772,2022-09-13 00:50:25,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).,
simulated data,Estimated,4,60,0.8785,0.8785,0.878,0.879,2160766914.067,2500000000,0.0001,Inf,2201812744.889,2500000000,0.0001,Inf,51,-2754,0,,,447241.101,38597.337,413348.829,385135.265,17793.786,155.001,2022-09-13 01:08:41,Estimated parameters after convergence of the iterative method,
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.,
