seed,type,??²_estimate,??²_start,??²_estimate,??²_start,iterations,LL,V_norm_finalstep,b??,b??,b??,b??,??,??,runtime,notes,
real data,Estimated,1266.4037299,50,4.7724541,1000,500,-488,16.756,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 01:01:16,Estimated parameters after convergence of the iterative method
real data,Estimated,2287.2616364,25,4.7786149,0.1,500,-505,11.495,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:18:37,Estimated parameters after convergence of the iterative method
real data,Estimated,102.1913113,100,1001.1971828,1000,500,-852,2.09,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 05:47:45,Estimated parameters after convergence of the iterative method
real data,Estimated,158.8958155,0.01,42266.3303972,0.1,500,-1295,3.838,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:02:09,Estimated parameters after convergence of the iterative method
real data,Estimated,111.5293941,100,42210.799207,0.1,500,-1295,2.121,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 02:56:07,Estimated parameters after convergence of the iterative method
real data,Estimated,1056.6757975,1000,42255.6166453,0.1,500,-1296,39.365,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 07:42:54,Estimated parameters after convergence of the iterative method
real data,Estimated,7540.0450251,0.01,4303991.0169057,0.01,500,-1849,4.182,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 20:01:17,Estimated parameters after convergence of the iterative method
real data,Estimated,99.7271363,100,4300940.8275816,0.01,500,-1849,0.027,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 01:58:48,Estimated parameters after convergence of the iterative method
real data,Estimated,1099.5264207,1000,4301040.468807,0.01,500,-1849,0.545,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 06:45:22,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,10.8146327,6,82,-342,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:13:00,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,7.1931867,25,79,-314,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:26:02,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,10.851521,100,71,-343,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:40:02,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,13.1573393,1,29,-359,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:40:24,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,4.8141363,50,28,-295,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:30:16,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,13.7040347,1,23,-362,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:00:06,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,6.007398,3,19,-304,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:43:45,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,7.5459039,25,19,-316,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:51:56,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,4.9450806,6,18,-296,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:24:53,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,1.9690843,6,16,-319,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:46:14,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,1.7449067,10,15,-333,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:48:43,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,6.8726432,3,11,-311,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:02:09,Estimated parameters after convergence of the iterative method
real data,Estimated,0,100,12.1604334,10,11,-352,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-16 03:15:18,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,10.7389385,25,10,-342,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:28:57,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,3.7268049,10,9,-291,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:26:48,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,4.5255753,50,8,-294,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:30:41,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,12.0332149,50,8,-351,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:53:53,Estimated parameters after convergence of the iterative method
real data,Estimated,0,50,13.3844881,100,8,-360,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:55:52,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,4.2593623,1,7,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:20:23,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,6.2035251,3,7,-305,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:21:58,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,4.2757337,3,6,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:48:31,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,4.1391784,1,5,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:22:27,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,4.0451338,3,5,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:35:40,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,4.101235,10,5,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:03:49,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,4.1441566,25,5,-292,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:05:06,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,4.2902356,0.1,5,-293,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:10:35,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,4.53776,10,5,-294,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:50:57,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,5.0467376,6,5,-297,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:02:36,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,6.177776,6,5,-305,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:49:53,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,1.8640473,3,5,-325,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:01:19,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,20.1375913,1,5,-398,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:59:56,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,30.8072392,1,5,-442,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:34:24,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,32.1213258,1,5,-446,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:46:56,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,44.7950746,50,5,-482,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:40:24,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,78.9296337,100,5,-546,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:07:41,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,420.8144208,0.1,5,-742,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:21:12,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,4216.5128554,0.1,5,-1018,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:33:06,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,4210.1247772,0.1,5,-1018,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:45:32,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,4299.4326255,0.01,5,-1020,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:19:57,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,42184.9758815,0.1,5,-1294,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:58:27,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,43005.4865376,0.01,5,-1297,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:31:48,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,42999.6408111,0.01,5,-1297,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:44:07,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,42990.6151985,0.01,5,-1297,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:57:01,Estimated parameters after convergence of the iterative method
real data,Estimated,0,25,430002.9760326,0.01,5,-1573,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:10:28,Estimated parameters after convergence of the iterative method
