t,i,b₀ᵢ,αₜ,μᵢₜ,vᵢₜ,vₜ,eᵢₜ
1,1,378017.714,-17986.445341174083,15104.850413583528,-2881.594927590555,-1870.7247612458978,401647.5190724094
1,2,-45391.353,-17986.445341174083,39718.702647599275,21732.257306425192,-1870.7247612458978,2852.3043064251906
1,3,347855.764,-17986.445341174083,43013.352602342144,25026.90726116806,-1870.7247612458978,399394.0712611681
1,4,314643.98,-17986.445341174083,-33374.0233438122,-51360.468684986285,-1870.7247612458978,289794.9113150137
2,1,378017.714,54360.424621429294,58421.26763703515,111138.26055570992,81047.14668164364,542165.5745557098
2,2,-45391.353,54360.424621429294,-210.32345993779595,52506.66945873698,81047.14668164364,60124.916458736974
2,3,347855.764,54360.424621429294,14817.039951160516,67534.0328698353,81047.14668164364,468399.3968698353
2,4,314643.98,54360.424621429294,40292.63092361763,93009.6238422924,81047.14668164364,460663.20384229237
3,1,378017.714,-20979.480846942435,-4757.4383038882015,45462.9992089933,72182.80427153836,502975.31320899323
3,2,-45391.353,-20979.480846942435,36660.252718459094,86880.69023134059,72182.80427153836,120983.93723134059
3,3,347855.764,-20979.480846942435,50042.27081371426,100262.70832659576,72182.80427153836,527613.0723265958
3,4,314643.98,-20979.480846942435,5904.381806342277,56124.81931922378,72182.80427153836,450263.3993192237
4,1,378017.714,35945.496873296965,-33460.409781270886,65897.68064457254,46920.277204902246,549881.7946445725
4,2,-45391.353,35945.496873296965,-93580.57663572309,5777.513790120327,46920.277204902246,66352.56079012033
4,3,347855.764,35945.496873296965,-46844.54435875508,52513.54606708833,46920.277204902246,506335.71006708837
4,4,314643.98,35945.496873296965,-35865.72210801564,63492.36831782778,46920.277204902246,484102.74831782776
5,1,378017.714,21012.358889688945,94054.41101792264,156286.2334321182,57694.94113179498,666728.9474321182
5,2,-45391.353,21012.358889688945,1272.892561404515,63504.71497560009,57694.94113179498,150538.36197560007
5,3,347855.764,21012.358889688945,-34844.57173446894,27387.250679726632,57694.94113179498,507668.0146797267
5,4,314643.98,21012.358889688945,-78630.25697446056,-16398.434560264985,57694.94113179498,430670.545439735
6,1,378017.714,-34283.54511380595,100296.14462191914,116697.60529239508,71821.73830920742,653585.719292395
6,2,-45391.353,-34283.54511380595,82692.80510057251,99094.26577104845,71821.73830920742,212573.31277104846
6,3,347855.764,-34283.54511380595,20805.717563499442,37207.17823397538,71821.73830920742,543933.3422339754
6,4,314643.98,-34283.54511380595,17886.443268934832,34287.90393941077,71821.73830920742,507802.28393941076
7,1,378017.714,102738.15280320183,-28305.443362229693,137528.10654561082,195139.22533238775,700848.4205456107
7,2,-45391.353,102738.15280320183,38882.88872933599,204716.43863717653,195139.22533238775,344627.6856371765
7,3,347855.764,102738.15280320183,148101.01883294006,313934.5687407806,195139.22533238775,847092.9327407805
7,4,314643.98,102738.15280320183,-41455.76250185747,124377.78740598305,195139.22533238775,624324.367405983
8,1,378017.714,16244.636472345786,-31828.43905211146,155846.00687473695,159208.8727233608,745585.3208747369
8,2,-45391.353,16244.636472345786,-40983.98068510206,146690.46524174637,159208.8727233608,313020.71224174637
8,3,347855.764,16244.636472345786,24038.174549989508,211712.62047683794,159208.8727233608,771289.9844768379
8,4,314643.98,16244.636472345786,-65088.04762672645,122586.39830012197,159208.8727233608,648951.978300122
9,1,378017.714,-15245.062759821612,9869.980856594855,134489.9127842457,130543.66774544626,750635.0267842456
9,2,-45391.353,-15245.062759821612,-28931.017853073776,95688.91407457709,130543.66774544626,288424.96107457706
9,3,347855.764,-15245.062759821612,61888.32257765955,186508.2545053104,130543.66774544626,772491.4185053104
9,4,314643.98,-15245.062759821612,-19132.34230999901,105487.58961765186,130543.66774544626,658258.9696176519
10,1,378017.714,23084.748713948422,-68598.15552737915,69169.20530094382,141641.43235308822,711706.9193009437
10,2,-45391.353,23084.748713948422,46321.22326115339,184088.58408947635,141641.43235308822,403217.2310894764
10,3,347855.764,23084.748713948422,-2195.6520108519367,135571.70881747102,141641.43235308822,747947.472817471
10,4,314643.98,23084.748713948422,39968.870376138686,177736.23120446166,141641.43235308822,756900.2112044616
11,1,378017.714,-42247.88581879894,-22505.063471810576,59679.049031578485,105590.7258167608,728596.1630315784
11,2,-45391.353,-42247.88581879894,60372.28853930592,142556.40104269498,105590.7258167608,388064.44804269494
11,3,347855.764,-42247.88581879894,36219.459582810225,118403.57208619927,105590.7258167608,757158.7360861993
11,4,314643.98,-42247.88581879894,19539.768603181416,101723.88110657048,105590.7258167608,707267.2611065705
12,1,378017.714,44335.5864544088,30944.190112248943,168041.22919668208,123857.99966661967,863324.543196682
12,2,-45391.353,44335.5864544088,-51351.95530683374,85745.0837775994,123857.99966661967,357619.33077759936
12,3,347855.764,44335.5864544088,-29141.338765871944,107955.7003185612,123857.99966661967,773077.0643185611
12,4,314643.98,44335.5864544088,-3407.053710797132,133689.985373636,123857.99966661967,765599.565373636
13,1,378017.714,678.6900775804795,-46252.835245085036,63235.10753962082,66534.21809669601,784871.4215396207
13,2,-45391.353,678.6900775804795,-8298.933628290442,101189.00915641541,66534.21809669601,399416.2561564154
13,3,347855.764,678.6900775804795,8198.768250929084,117686.71103563494,66534.21809669601,809161.0750356349
13,4,314643.98,678.6900775804795,-125461.89812959293,-15973.955344887072,66534.21809669601,642288.6246551129
14,1,378017.714,5282.580294186542,-14816.318475854989,48916.57241627899,62742.42572025301,796892.686416279
14,2,-45391.353,5282.580294186542,7591.103016203868,71323.99390833786,62742.42572025301,395891.04090833786
