t,i,b₀ᵢ,αₜ,μᵢₜ,vᵢₜ,vₜ,eᵢₜ
1,1,378017.714,-68544.9301068005,57563.39822758861,-10981.531879211892,-7129.185093350461,393547.5821207881
1,2,-45391.353,-68544.9301068005,151364.8553269264,82819.9252201259,-7129.185093350461,63939.97222012589
1,3,347855.764,-68544.9301068005,163920.50746333023,95375.57735652973,-7129.185093350461,469742.74135652976
1,4,314643.98,-68544.9301068005,-127185.78096404507,-195730.71107084557,-7129.185093350461,145424.66892915443
2,1,378017.714,207163.30745587114,222638.86115197587,423539.17950333864,308864.30860975443,854566.4935033387
2,2,-45391.353,207163.30745587114,-801.5261819551733,200098.79216940756,308864.30860975443,207717.03916940757
2,3,347855.764,207163.30745587114,56466.575166856834,257366.8935182196,308864.30860975443,658232.2575182195
2,4,314643.98,207163.30745587114,153552.0508966891,354452.36924805184,308864.30860975443,722105.9492480517
3,1,378017.714,-79951.1532742222,-18130.223612385318,173255.91822706172,275082.99610369187,630768.2322270616
3,2,-45391.353,-79951.1532742222,139709.34293125823,331095.4847707052,275082.99610369187,365198.7317707052
3,3,347855.764,-79951.1532742222,190707.16254642233,382093.30438586936,275082.99610369187,809443.6683858694
3,4,314643.98,-79951.1532742222,22501.135191684163,213887.27703113118,275082.99610369187,608025.8570311312
4,1,378017.714,136985.4645594761,-127514.9928903297,251130.8837462397,178809.49017977508,735114.9977462396
4,2,-45391.353,136985.4645594761,-356628.22548743896,22017.651149130426,178809.49017977508,82592.69814913042
4,3,347855.764,136985.4645594761,-178520.87825298918,200124.9983835802,178809.49017977508,653947.1623835802
4,4,314643.98,136985.4645594761,-136681.44919641947,241964.4274401499,178809.49017977508,662574.80744015
5,1,378017.714,80076.44891209618,358433.9710916422,595594.5571266708,219870.88790367453,1.1060372711266708e6
5,2,-45391.353,80076.44891209618,4850.893547887844,242011.47958291642,219870.88790367453,329045.1265829164
5,3,347855.764,80076.44891209618,-132789.92534856603,104370.66068646254,219870.88790367453,584651.4246864626
5,4,314643.98,80076.44891209618,-299653.7318163803,-62493.14578135172,219870.88790367453,384575.83421864826
6,1,378017.714,-130651.89697375604,382220.7274804552,444725.40553007723,273707.0020880615,981613.5195300772
6,2,-45391.353,-130651.89697375604,315135.78355466336,377640.4616042854,273707.0020880615,491119.5086042854
6,3,347855.764,-130651.89697375604,79288.95505257232,141793.63310219435,273707.0020880615,648519.7971021944
6,4,314643.98,-130651.89697375604,68163.83006606686,130668.50811568889,273707.0020880615,604182.8881156889
7,1,378017.714,391527.0288052132,-107869.82086252437,524108.80927705084,743660.2568092864,1.0874291232770507e6
7,2,-45391.353,391527.0288052132,148179.6341493711,780158.2642889463,743660.2568092864,920069.5112889463
7,3,347855.764,391527.0288052132,564401.3473530044,1.1963799774925797e6,743660.2568092864,1.7295383414925798e6
7,4,314643.98,391527.0288052132,-157984.6539610063,473993.9761785689,743660.2568092864,973940.5561785689
8,1,378017.714,61907.03335129587,-121295.68065577143,593916.8883024825,606732.5058511483,1.1836562023024824e6
8,2,-45391.353,61907.03335129587,-156186.73052245277,559025.8384358012,606732.5058511483,725356.0854358012
8,3,347855.764,61907.03335129587,91607.59467309767,806820.1636313517,606732.5058511483,1.3663975276313517e6
8,4,314643.98,61907.03335129587,-248045.43592329626,467167.1330349577,606732.5058511483,993532.7130349576
9,1,378017.714,-58097.73646344887,37613.721618581454,512530.49154536636,497491.661735587,1.1286756055453662e6
9,2,-45391.353,-58097.73646344887,-110253.83609945088,364662.933827334,497491.661735587,557398.980827334
9,3,347855.764,-58097.73646344887,235851.53514473626,710768.3050715212,497491.661735587,1.2967514690715212e6
9,4,314643.98,-58097.73646344887,-72911.85342865861,402004.9164981263,497491.661735587,954776.2964981264
10,1,378017.714,87974.16371696256,-261422.18136430855,263598.4071873671,539784.370769716,906136.121187367
10,2,-45391.353,87974.16371696256,176526.5426642663,701547.131215942,539784.370769716,920675.778215942
10,3,347855.764,87974.16371696256,-8367.457313990752,516653.1312376849,539784.370769716,1.129028895237685e6
10,4,314643.98,87974.16371696256,152318.22488619428,677338.81343787,539784.370769716,1.25650279343787e6
11,1,378017.714,-161003.3736894357,-85765.0288016092,227432.16723015055,402397.9604501305,896349.2812301505
11,2,-45391.353,-161003.3736894357,230074.0485303802,543271.24456214,402397.9604501305,788779.29156214
11,3,347855.764,-161003.3736894357,138029.5149218047,451226.7109535644,402397.9604501305,1.0899818749535643e6
11,4,314643.98,-161003.3736894357,74464.5230229075,387661.7190546672,402397.9604501305,993205.0990546672
12,1,378017.714,168959.43679347873,117925.8774161541,640391.9224650725,472013.1059404972,1.3356752364650723e6
12,2,-45391.353,168959.43679347873,-195698.26725555188,326767.77779336646,472013.1059404972,598642.0247933664
12,3,347855.764,168959.43679347873,-111055.35257445705,411410.6924744613,472013.1059404972,1.0765320564744612e6
12,4,314643.98,168959.43679347873,-12984.01401982969,509482.03102908866,472013.1059404972,1.1413916110290885e6
13,1,378017.714,2586.434565002063,-176265.92130787094,240984.02682585787,253556.67796730722,962620.3408258578
13,2,-45391.353,2586.434565002063,-31626.58405938326,385623.36407434556,253556.67796730722,683850.6110743455
13,3,347855.764,2586.434565002063,31244.861675659202,448494.809809388,253556.67796730722,1.139969173809388e6
13,4,314643.98,2586.434565002063,-478125.4369740915,-60875.4888403627,253556.67796730722,597387.0911596373
14,1,378017.714,20131.498480118367,-56463.82568114951,186417.21439324826,239106.45511933794,934393.3283932481
14,2,-45391.353,20131.498480118367,28929.09720677757,271810.1372811753,239106.45511933794,596377.1842811753
14,3,347855.764,20131.498480118367,130011.01426440447,372892.05433880223,239106.45511933794,1.0907062183388022e6
14,4,314643.98,20131.498480118367,-117574.62561027172,125306.41446412604,239106.45511933794,809908.794464126
15,1,378017.714,-103112.74735365102,-59350.74875686949,47591.52471181787,183191.78577694786,821894.2387118178
15,2,-45391.353,-103112.74735365102,97586.00327347174,204528.2767421591,183191.78577694786,555421.923742159
15,3,347855.764,-103112.74735365102,125503.34390374362,232445.61737243098,183191.78577694786,976586.381372431
15,4,314643.98,-103112.74735365102,141259.45081269613,248201.7242813835,183191.78577694786,959130.7042813834
16,1,378017.714,-131522.54079478502,66905.04818563689,96316.49119590055,156510.27350953143,896932.6051959005
16,2,-45391.353,-131522.54079478502,-18397.232905264307,11014.210104999362,156510.27350953143,388221.2571049994
16,3,347855.764,-131522.54079478502,258747.09616727554,288158.5391775392,156510.27350953143,1.0586127031775392e6
16,4,314643.98,-131522.54079478502,201140.41054942296,230551.85355968663,156510.27350953143,967794.2335596867
17,1,378017.714,-178430.22669070816,182707.73251645826,141771.78110387345,27092.516626567078,968688.0951038734
17,2,-45391.353,-178430.22669070816,-91216.60407410182,-132152.55548668664,27092.516626567078,271354.69151331333
17,3,347855.764,-178430.22669070816,-98611.70157140147,-139547.65298398628,27092.516626567078,657206.7110160136
17,4,314643.98,-178430.22669070816,279234.4452856526,238298.49387306778,27092.516626567078,1.0018410738730677e6
18,1,378017.714,-117718.67535577413,18673.690643182636,-75244.20885615231,-250005.8695891418,777959.1051438476
18,2,-45391.353,-117718.67535577413,-228425.7359701871,-322343.63546952204,-250005.8695891418,107450.61153047794
18,3,347855.764,-117718.67535577413,-300378.5961698616,-394296.4956691966,-250005.8695891418,428744.86833080335
18,4,314643.98,-117718.67535577413,-114221.23886236126,-208139.1383616962,-250005.8695891418,581690.4416383037
19,1,378017.714,28968.765185355667,21178.978075246054,-169482.41317345932,-145151.55174637015,709994.7008265406
19,2,-45391.353,28968.765185355667,171355.44137821547,-19305.949870489916,-145151.55174637015,436762.09712951013
