seed,N,T,ρ_true,ρ_est,ρ_start,ρ_lower,ρ_upper,σₐ²_true,σₐ²_est,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_true,σᵤ²_est,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,LL,runtime,notes
16,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00012997363809663653,3.6288344,0.0001,Inf,0.0001,0.0001061384732747861,3.6288344,0.0001,Inf,931.5942066051207,2023-02-09 19:07:45,Estimated parameters after simple MLE with no GLS (no trend)
13,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010600496704871176,3.6288344,0.0001,Inf,0.0001,0.00010343501113130316,3.6288344,0.0001,Inf,933.8671678952543,2023-02-09 19:07:48,Estimated parameters after simple MLE with no GLS (no trend)
19,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010030538742045181,3.6288344,0.0001,Inf,0.0001,0.00012483614343006266,3.6288344,0.0001,Inf,933.1653393788488,2023-02-09 19:08:09,Estimated parameters after simple MLE with no GLS (no trend)
3,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0001003187601478217,3.6288344,0.0001,Inf,0.0001,0.00011844838804586644,3.6288344,0.0001,Inf,937.3943157058544,2023-02-09 19:08:10,Estimated parameters after simple MLE with no GLS (no trend)
15,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010400456125125856,3.6288344,0.0001,Inf,0.0001,0.00012192388066711857,3.6288344,0.0001,Inf,916.4628927778376,2023-02-09 19:08:12,Estimated parameters after simple MLE with no GLS (no trend)
5,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011054775562735486,3.6288344,0.0001,Inf,0.0001,0.00010096445559071299,3.6288344,0.0001,Inf,939.9124417582342,2023-02-09 19:08:15,Estimated parameters after simple MLE with no GLS (no trend)
20,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010034323684227076,3.6288344,0.0001,Inf,0.0001,0.00013280112547642275,3.6288344,0.0001,Inf,923.7777560759514,2023-02-09 19:08:16,Estimated parameters after simple MLE with no GLS (no trend)
12,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010041292076401476,3.6288344,0.0001,Inf,0.0001,0.0001162045982847637,3.6288344,0.0001,Inf,935.6863246373333,2023-02-09 19:08:17,Estimated parameters after simple MLE with no GLS (no trend)
10,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010032479754773505,3.6288344,0.0001,Inf,0.0001,0.0001242834088230893,3.6288344,0.0001,Inf,933.0759408745613,2023-02-09 19:08:18,Estimated parameters after simple MLE with no GLS (no trend)
9,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00012210733962270126,3.6288344,0.0001,Inf,0.0001,0.00010090488131719866,3.6288344,0.0001,Inf,939.5576428873793,2023-02-09 19:08:18,Estimated parameters after simple MLE with no GLS (no trend)
1,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010109393751278617,3.6288344,0.0001,Inf,0.0001,0.00012335016878495253,3.6288344,0.0001,Inf,919.2706574677495,2023-02-09 19:08:19,Estimated parameters after simple MLE with no GLS (no trend)
7,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010053204105586744,3.6288344,0.0001,Inf,0.0001,0.00012145525823292758,3.6288344,0.0001,Inf,927.8184779527901,2023-02-09 19:08:21,Estimated parameters after simple MLE with no GLS (no trend)
18,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010417207746149515,3.6288344,0.0001,Inf,0.0001,0.00010183658607099133,3.6288344,0.0001,Inf,938.5491034787426,2023-02-09 19:08:22,Estimated parameters after simple MLE with no GLS (no trend)
14,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010037267518114845,3.6288344,0.0001,Inf,0.0001,0.00012608011209591652,3.6288344,0.0001,Inf,928.9530682846166,2023-02-09 19:08:22,Estimated parameters after simple MLE with no GLS (no trend)
17,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0001002310719844246,3.6288344,0.0001,Inf,0.0001,0.00011709270726489862,3.6288344,0.0001,Inf,946.9762206677478,2023-02-09 19:08:24,Estimated parameters after simple MLE with no GLS (no trend)
11,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010011831896461487,3.6288344,0.0001,Inf,0.0001,0.00013946652765239875,3.6288344,0.0001,Inf,946.3871197743048,2023-02-09 19:08:25,Estimated parameters after simple MLE with no GLS (no trend)
4,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010678779428996421,3.6288344,0.0001,Inf,0.0001,0.00010033548028731687,3.6288344,0.0001,Inf,954.3627048498578,2023-02-09 19:08:46,Estimated parameters after simple MLE with no GLS (no trend)
2,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.000108575644494735,3.6288344,0.0001,Inf,0.0001,0.00011509909380347239,3.6288344,0.0001,Inf,921.4062287741154,2023-02-09 19:08:49,Estimated parameters after simple MLE with no GLS (no trend)
8,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00012440032403615575,3.6288344,0.0001,Inf,0.0001,0.0001018078240360154,3.6288344,0.0001,Inf,934.5090857019213,2023-02-09 19:08:51,Estimated parameters after simple MLE with no GLS (no trend)
6,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010042578113322875,3.6288344,0.0001,Inf,0.0001,0.00011432787411358447,3.6288344,0.0001,Inf,936.6713133326135,2023-02-09 19:08:52,Estimated parameters after simple MLE with no GLS (no trend)
18,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.1177959957699386,3.6288344,0.0001,Inf,2.4192896,2.0760774781425537,3.6288344,0.0001,Inf,-225.45359738449204,2023-02-09 19:10:18,Estimated parameters after simple MLE with no GLS (no trend)
3,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.08501667137117908,3.6288344,0.0001,Inf,2.4192896,2.22920368433513,3.6288344,0.0001,Inf,-226.77176300717602,2023-02-09 19:10:27,Estimated parameters after simple MLE with no GLS (no trend)
9,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.04542677189388966,3.6288344,0.0001,Inf,2.4192896,1.9338186188931479,3.6288344,0.0001,Inf,-215.13786135812342,2023-02-09 19:10:30,Estimated parameters after simple MLE with no GLS (no trend)
10,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.21546458348582664,3.6288344,0.0001,Inf,2.4192896,2.3562112691906725,3.6288344,0.0001,Inf,-240.45803581174678,2023-02-09 19:10:30,Estimated parameters after simple MLE with no GLS (no trend)
17,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.08309078440675988,3.6288344,0.0001,Inf,2.4192896,1.9923630090937845,3.6288344,0.0001,Inf,-218.5039512205915,2023-02-09 19:10:30,Estimated parameters after simple MLE with no GLS (no trend)
5,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.08157474228209649,3.6288344,0.0001,Inf,2.4192896,2.008430841275539,3.6288344,0.0001,Inf,-218.84259578129038,2023-02-09 19:10:31,Estimated parameters after simple MLE with no GLS (no trend)
20,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.10769001117168697,3.6288344,0.0001,Inf,2.4192896,2.618708623817385,3.6288344,0.0001,Inf,-247.94730894087115,2023-02-09 19:10:31,Estimated parameters after simple MLE with no GLS (no trend)
13,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.23053640389651653,3.6288344,0.0001,Inf,2.4192896,2.1924415560242494,3.6288344,0.0001,Inf,-233.25865662130653,2023-02-09 19:10:32,Estimated parameters after simple MLE with no GLS (no trend)
16,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.2552335883372767,3.6288344,0.0001,Inf,2.4192896,2.1137183494786655,3.6288344,0.0001,Inf,-230.63894050090627,2023-02-09 19:10:32,Estimated parameters after simple MLE with no GLS (no trend)
7,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0019101652121911172,3.6288344,0.0001,Inf,2.4192896,2.4593243104560307,3.6288344,0.0001,Inf,-232.3998061195852,2023-02-09 19:10:37,Estimated parameters after simple MLE with no GLS (no trend)
12,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0024509462667152704,3.6288344,0.0001,Inf,2.4192896,2.241956930861985,3.6288344,0.0001,Inf,-224.45645621507464,2023-02-09 19:10:38,Estimated parameters after simple MLE with no GLS (no trend)
11,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.008149566843211886,3.6288344,0.0001,Inf,2.4192896,2.0530423338290875,3.6288344,0.0001,Inf,-217.89811964424788,2023-02-09 19:10:38,Estimated parameters after simple MLE with no GLS (no trend)
14,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.007930928027881201,3.6288344,0.0001,Inf,2.4192896,2.447269150547687,3.6288344,0.0001,Inf,-235.26220657222848,2023-02-09 19:10:38,Estimated parameters after simple MLE with no GLS (no trend)
19,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0019003495276765925,3.6288344,0.0001,Inf,2.4192896,2.3476243944284914,3.6288344,0.0001,Inf,-228.3081746955463,2023-02-09 19:10:42,Estimated parameters after simple MLE with no GLS (no trend)
1,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.004350495998481918,3.6288344,0.0001,Inf,2.4192896,2.6576287551505313,3.6288344,0.0001,Inf,-245.24544858660272,2023-02-09 19:10:47,Estimated parameters after simple MLE with no GLS (no trend)
4,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.39409793481203526,3.6288344,0.0001,Inf,2.4192896,1.7779704375542582,3.6288344,0.0001,Inf,-219.36856608935668,2023-02-09 19:10:49,Estimated parameters after simple MLE with no GLS (no trend)
15,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0015503786786363882,3.6288344,0.0001,Inf,2.4192896,2.7106237931886965,3.6288344,0.0001,Inf,-242.40094196331611,2023-02-09 19:10:49,Estimated parameters after simple MLE with no GLS (no trend)
8,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.08077695830529397,3.6288344,0.0001,Inf,2.4192896,2.0369378914259206,3.6288344,0.0001,Inf,-221.34670387331033,2023-02-09 19:10:55,Estimated parameters after simple MLE with no GLS (no trend)
6,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0027606218971576446,3.6288344,0.0001,Inf,2.4192896,2.2085436897894457,3.6288344,0.0001,Inf,-223.33814047392633,2023-02-09 19:10:58,Estimated parameters after simple MLE with no GLS (no trend)
2,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.002447967631174386,3.6288344,0.0001,Inf,2.4192896,2.5031039403501563,3.6288344,0.0001,Inf,-236.2979549304573,2023-02-09 19:11:04,Estimated parameters after simple MLE with no GLS (no trend)
10,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.17093210561710492,3.6288344,0.0001,Inf,4.8384792,5.549708840649381,3.6288344,0.0001,Inf,-323.21119810745256,2023-02-09 19:12:14,Estimated parameters after simple MLE with no GLS (no trend)
16,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.7900265350935349,3.6288344,0.0001,Inf,4.8384792,4.639716639679259,3.6288344,0.0001,Inf,-314.3626964859844,2023-02-09 19:12:27,Estimated parameters after simple MLE with no GLS (no trend)
19,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.002503874810012796,3.6288344,0.0001,Inf,4.8384792,5.327122501332575,3.6288344,0.0001,Inf,-311.8165030122468,2023-02-09 19:12:37,Estimated parameters after simple MLE with no GLS (no trend)
18,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.065218807482045,3.6288344,0.0001,Inf,4.8384792,4.773426580604542,3.6288344,0.0001,Inf,-307.87162528785177,2023-02-09 19:12:38,Estimated parameters after simple MLE with no GLS (no trend)
11,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0032556362145292894,3.6288344,0.0001,Inf,4.8384792,4.653888718829426,3.6288344,0.0001,Inf,-300.70844522218243,2023-02-09 19:12:44,Estimated parameters after simple MLE with no GLS (no trend)
9,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.03936629660461133,3.6288344,0.0001,Inf,4.8384792,4.378816139426748,3.6288344,0.0001,Inf,-297.51227316051046,2023-02-09 19:12:46,Estimated parameters after simple MLE with no GLS (no trend)
7,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0040252027392422285,3.6288344,0.0001,Inf,4.8384792,5.5888300352732525,3.6288344,0.0001,Inf,-316.08948026733833,2023-02-09 19:12:47,Estimated parameters after simple MLE with no GLS (no trend)
13,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.15691015395108598,3.6288344,0.0001,Inf,4.8384792,5.071165991826156,3.6288344,0.0001,Inf,-315.7579091165424,2023-02-09 19:12:48,Estimated parameters after simple MLE with no GLS (no trend)
5,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.015723404953439157,3.6288344,0.0001,Inf,4.8384792,4.549980270691741,3.6288344,0.0001,Inf,-301.1957081983899,2023-02-09 19:12:53,Estimated parameters after simple MLE with no GLS (no trend)
14,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.004338665493575089,3.6288344,0.0001,Inf,4.8384792,5.660791079657376,3.6288344,0.0001,Inf,-318.6642210684096,2023-02-09 19:12:54,Estimated parameters after simple MLE with no GLS (no trend)
