seed,N,T,ρ_true,ρ_est,ρ_start,ρ_lower,ρ_upper,σₐ²_true,σₐ²_est,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_true,σᵤ²_est,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,LL,runtime,notes
65,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010566227502550873,10.0,0.0001,Inf,0.0001,0.00010606129873558245,10.0,0.0001,Inf,929.7000203267864,2023-02-11 09:02:59,Estimated parameters after simple MLE with no GLS (no trend)
14,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010036014916003921,10.0,0.0001,Inf,0.0001,0.00012606765374911788,10.0,0.0001,Inf,928.954682988767,2023-02-11 09:03:00,Estimated parameters after simple MLE with no GLS (no trend)
89,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011386366000998294,10.0,0.0001,Inf,0.0001,0.0001015164274633662,10.0,0.0001,Inf,936.6444986509714,2023-02-11 09:03:05,Estimated parameters after simple MLE with no GLS (no trend)
40,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011024138122017746,10.0,0.0001,Inf,0.0001,0.00010132715239663526,10.0,0.0001,Inf,937.694445415863,2023-02-11 09:03:08,Estimated parameters after simple MLE with no GLS (no trend)
77,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.0001009930717046359,10.0,0.0001,Inf,0.0001,0.0001044267401955068,10.0,0.0001,Inf,938.8644647256531,2023-02-11 09:03:08,Estimated parameters after simple MLE with no GLS (no trend)
1,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010118307707074337,10.0,0.0001,Inf,0.0001,0.0001234393211397844,10.0,0.0001,Inf,919.2677852904783,2023-02-11 09:03:11,Estimated parameters after simple MLE with no GLS (no trend)
27,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00011900316921575893,10.0,0.0001,Inf,0.0001,0.00010067789133572091,10.0,0.0001,Inf,941.5917986198342,2023-02-11 09:03:11,Estimated parameters after simple MLE with no GLS (no trend)
53,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010026933569839969,10.0,0.0001,Inf,0.0001,0.00011196829934156938,10.0,0.0001,Inf,945.3706960955379,2023-02-11 09:03:16,Estimated parameters after simple MLE with no GLS (no trend)
15,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00010159682343235943,10.0,0.0001,Inf,0.0001,0.00011951614765592922,10.0,0.0001,Inf,916.4455952768388,2023-02-11 09:03:48,Estimated parameters after simple MLE with no GLS (no trend)
41,4,60,0.8785,0.8785,0.8785,0.878,0.879,0.0001,0.00013345329235825432,10.0,0.0001,Inf,0.0001,0.00010324261249294864,10.0,0.0001,Inf,926.3124480894725,2023-02-11 09:03:53,Estimated parameters after simple MLE with no GLS (no trend)
